harness,task,model,run,capability_mode,telemetry_trust,tool_set,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
raw_api,ng-bug1-missing-input,qwen/qwen3-coder,2,single_shot,exact,,True,True,1002,914,0.0019,1,legacy raw_api row; one OpenRouter request,8.3,results\ng-bug1-missing-input__qwen_qwen3-coder__r2,results\ng-bug1-missing-input__qwen_qwen3-coder__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,qwen/qwen3-coder,3,single_shot,exact,,True,True,1002,913,0.0019,1,legacy raw_api row; one OpenRouter request,12.7,results\ng-bug1-missing-input__qwen_qwen3-coder__r3,results\ng-bug1-missing-input__qwen_qwen3-coder__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,deepseek/deepseek-v4-pro,1,single_shot,exact,,True,True,1070,1158,0.0015,1,legacy raw_api row; one OpenRouter request,11.8,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r1,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,deepseek/deepseek-v4-pro,2,single_shot,exact,,True,True,1070,1187,0.0015,1,legacy raw_api row; one OpenRouter request,12.5,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r2,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,deepseek/deepseek-v4-pro,3,single_shot,exact,,True,True,1070,1290,0.0016,1,legacy raw_api row; one OpenRouter request,14.5,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r3,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,z-ai/glm-5.2,1,single_shot,exact,,True,True,1006,1039,0.0052,1,legacy raw_api row; one OpenRouter request,7.3,results\ng-bug1-missing-input__z-ai_glm-5.2__r1,results\ng-bug1-missing-input__z-ai_glm-5.2__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,z-ai/glm-5.2,2,single_shot,exact,,True,True,1006,1009,0.005,1,legacy raw_api row; one OpenRouter request,32.9,results\ng-bug1-missing-input__z-ai_glm-5.2__r2,results\ng-bug1-missing-input__z-ai_glm-5.2__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,z-ai/glm-5.2,3,single_shot,exact,,True,True,1006,1050,0.0052,1,legacy raw_api row; one OpenRouter request,10.7,results\ng-bug1-missing-input__z-ai_glm-5.2__r3,results\ng-bug1-missing-input__z-ai_glm-5.2__r3/_raw_response.txt,
raw_api,ng-bug1-missing-input,minimax/minimax-m2.7,1,single_shot,exact,,True,True,1073,2218,0.0025,1,legacy raw_api row; one OpenRouter request,31.9,results\ng-bug1-missing-input__minimax_minimax-m2.7__r1,results\ng-bug1-missing-input__minimax_minimax-m2.7__r1/_raw_response.txt,
raw_api,ng-bug1-missing-input,minimax/minimax-m2.7,2,single_shot,exact,,True,True,1073,2247,0.0025,1,legacy raw_api row; one OpenRouter request,41.7,results\ng-bug1-missing-input__minimax_minimax-m2.7__r2,results\ng-bug1-missing-input__minimax_minimax-m2.7__r2/_raw_response.txt,
raw_api,ng-bug1-missing-input,minimax/minimax-m2.7,3,single_shot,exact,,True,True,1073,3019,0.0033,1,legacy raw_api row; one OpenRouter request,48.3,results\ng-bug1-missing-input__minimax_minimax-m2.7__r3,results\ng-bug1-missing-input__minimax_minimax-m2.7__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3.7-plus,1,single_shot,exact,,True,True,570,1393,0.002,1,legacy raw_api row; one OpenRouter request,27.0,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r1,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3.7-plus,2,single_shot,exact,,True,True,570,1196,0.0017,1,legacy raw_api row; one OpenRouter request,25.1,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r2,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r2/_raw_response.txt,
raw_api,ng-feat1-reading-time,qwen/qwen3.7-plus,3,single_shot,exact,,True,True,570,2492,0.0034,1,legacy raw_api row; one OpenRouter request,46.4,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r3,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r3/_raw_response.txt,
raw_api,ng-feat1-reading-time,google/gemini-3.1-flash-lite,1,single_shot,exact,,True,True,580,531,0.0009,1,legacy raw_api row; one OpenRouter request,2.8,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r1,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r1/_raw_response.txt,
raw_api,ng-feat1-reading-time,google/gemini-3.1-flash-lite,2,single_shot,exact,,True,True,580,531,0.0009,1,legacy raw_api row; one OpenRouter request,2.7,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r2,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r2/_raw_response.txt,
